html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count
https://github.com/puppetlabs/puppetdb,Clojure,208,https://github.com/puppetlabs/puppetdb,Clojure,28330,puppetlabs,292
https://github.com/replikativ/konserve,Clojure,21,https://github.com/replikativ/konserve,Clojure,1911,replikativ,291
https://github.com/r4vi/block-the-eu-cookie-shit-list,Clojure,48,https://github.com/r4vi/block-the-eu-cookie-shit-list,Clojure,11531,r4vi,289
https://github.com/nubank/state-flow,Clojure,24,https://github.com/nubank/state-flow,Clojure,469,nubank,289
https://github.com/funcool/buddy-auth,Clojure,41,https://github.com/funcool/buddy-auth,Clojure,756,funcool,286
https://github.com/exoscale/pithos,Clojure,32,https://github.com/exoscale/pithos,Clojure,3486,exoscale,282
https://github.com/puppetlabs/puppetserver,Clojure,178,https://github.com/puppetlabs/puppetserver,Clojure,10902,puppetlabs,282
https://github.com/greglook/cljstyle,Clojure,34,https://github.com/greglook/cljstyle,Clojure,671,greglook,274
https://github.com/drone29a/clj-oauth,Clojure,24,https://github.com/drone29a/clj-oauth,Clojure,4665,drone29a,269
https://github.com/cch1/http.async.client,Clojure,33,https://github.com/cch1/http.async.client,Clojure,1395,cch1,266
https://github.com/rm-hull/nvd-clojure,Clojure,23,https://github.com/rm-hull/nvd-clojure,Clojure,480283,rm-hull,259
https://github.com/taoensso/encore,Clojure,21,https://github.com/taoensso/encore,Clojure,2363,taoensso,255
https://github.com/clojure-emacs/refactor-nrepl,Clojure,54,https://github.com/clojure-emacs/refactor-nrepl,Clojure,1164,clojure-emacs,253
https://github.com/venantius/accountant,Clojure,22,https://github.com/venantius/accountant,Clojure,66,venantius,249
https://github.com/Otann/morse,Clojure,23,https://github.com/Otann/morse,Clojure,153,Otann,246
https://github.com/clj-jgit/clj-jgit,Clojure,32,https://github.com/clj-jgit/clj-jgit,Clojure,625,clj-jgit,242
https://github.com/mpenet/alia,Clojure,29,https://github.com/mpenet/alia,Clojure,1581,mpenet,242
https://github.com/sunng87/ring-jetty9-adapter,Clojure,33,https://github.com/sunng87/ring-jetty9-adapter,Clojure,488,sunng87,234
https://github.com/taoensso/faraday,Clojure,47,https://github.com/taoensso/faraday,Clojure,954,taoensso,234
https://github.com/clojure/data.xml,Clojure,25,https://github.com/clojure/data.xml,Clojure,575,clojure,217
https://github.com/pingles/clj-kafka,Clojure,21,https://github.com/pingles/clj-kafka,Clojure,309,pingles,212
https://github.com/apa512/clj-rethinkdb,Clojure,31,https://github.com/apa512/clj-rethinkdb,Clojure,776,apa512,203
https://github.com/clojure/tools.reader,Clojure,31,https://github.com/clojure/tools.reader,Clojure,1088,clojure,201
https://github.com/owainlewis/clojure-mail,Clojure,34,https://github.com/owainlewis/clojure-mail,Clojure,177,owainlewis,196
https://github.com/walmartlabs/lacinia-pedestal,Clojure,36,https://github.com/walmartlabs/lacinia-pedestal,Clojure,936,walmartlabs,195
https://github.com/pyr/kinsky,Clojure,29,https://github.com/pyr/kinsky,Clojure,178,pyr,193
https://github.com/funcool/catacumba,Clojure,21,https://github.com/funcool/catacumba,Clojure,2229,funcool,190
