html_url,language,n-contributors,right.html_url,right.language,size,owner,stargazers_count,log-stargazers,log-contributors,log-stargazers-prediction
https://github.com/witch-house/pronoun.is,Clojure,24,https://github.com/witch-house/pronoun.is,Clojure,152,witch-house,928,6.833031732786201,3.1780538303479458,6.109387028017071
https://github.com/braidchat/braid,Clojure,25,https://github.com/braidchat/braid,Clojure,6255,braidchat,905,6.807934943699926,3.2188758248682006,6.1452273457623665
https://github.com/puniverse/pulsar,Clojure,23,https://github.com/puniverse/pulsar,Clojure,4023,puniverse,902,6.804614520062624,3.1354942159291497,6.072021139313861
https://github.com/noprompt/meander,Clojure,30,https://github.com/noprompt/meander,Clojure,3198,noprompt,887,6.787844982309579,3.4011973816621555,6.305299449149427
https://github.com/clj-commons/etaoin,Clojure,41,https://github.com/clj-commons/etaoin,Clojure,5264,clj-commons,879,6.778784897685177,3.713572066704308,6.5795537598235985
https://github.com/mtgred/netrunner,Clojure,163,https://github.com/mtgred/netrunner,Clojure,78140,mtgred,871,6.769641976852503,5.093750200806762,7.79130304970205
https://github.com/aysylu/loom,Clojure,41,https://github.com/aysylu/loom,Clojure,572,aysylu,870,6.76849321164863,3.713572066704308,6.5795537598235985
https://github.com/swannodette/lt-cljs-tutorial,Clojure,28,https://github.com/swannodette/lt-cljs-tutorial,Clojure,656,swannodette,864,6.761572768804055,3.332204510175204,6.244726063029702
https://github.com/gigasquid/wonderland-clojure-katas,Clojure,76,https://github.com/gigasquid/wonderland-clojure-katas,Clojure,378,gigasquid,855,6.75110146893676,4.330733340286331,7.12140029145977
https://github.com/reagent-project/reagent-cookbook,Clojure,27,https://github.com/reagent-project/reagent-cookbook,Clojure,1047,reagent-project,839,6.732210706467206,3.295836866004329,6.212796512843584
https://github.com/metasoarous/oz,Clojure,31,https://github.com/metasoarous/oz,Clojure,27789,metasoarous,814,6.70196036600254,3.4339872044851463,6.3340877943196965
https://github.com/pallet/pallet,Clojure,38,https://github.com/pallet/pallet,Clojure,13561,pallet,805,6.690842277418564,3.6375861597263857,6.512840727247449
https://github.com/clojupyter/clojupyter,Clojure,30,https://github.com/clojupyter/clojupyter,Clojure,33186,clojupyter,797,6.680854678790215,3.4011973816621555,6.305299449149427
https://github.com/babashka/nbb,Clojure,34,https://github.com/babashka/nbb,Clojure,1817,babashka,791,6.673297967767654,3.5263605246161616,6.415188416266054
https://github.com/djblue/portal,Clojure,48,https://github.com/djblue/portal,Clojure,6363,djblue,791,6.673297967767654,3.871201010907891,6.717946592229392
https://github.com/day8/re-com,Clojure,50,https://github.com/day8/re-com,Clojure,5493,day8,785,6.665683717782408,3.912023005428146,6.7537869099746874
https://github.com/clj-commons/secretary,Clojure,30,https://github.com/clj-commons/secretary,Clojure,175,clj-commons,775,6.652863029353347,3.4011973816621555,6.305299449149427
https://github.com/plumatic/dommy,Clojure,34,https://github.com/plumatic/dommy,Clojure,345,plumatic,758,6.630683385642372,3.5263605246161616,6.415188416266054
https://github.com/lambdaisland/kaocha,Clojure,63,https://github.com/lambdaisland/kaocha,Clojure,1619,lambdaisland,756,6.628041376179533,4.143134726391533,6.956695112068536
https://github.com/dakrone/clojure-opennlp,Clojure,22,https://github.com/dakrone/clojure-opennlp,Clojure,33612,dakrone,745,6.61338421837956,3.091042453358316,6.03299400912093
https://github.com/noir-clojure/noir,Clojure,25,https://github.com/noir-clojure/noir,Clojure,780,noir-clojure,742,6.60934924316738,3.2188758248682006,6.1452273457623665
https://github.com/clojure/java.jdbc,Clojure,22,https://github.com/clojure/java.jdbc,Clojure,2056,clojure,709,6.5638555265321274,3.091042453358316,6.03299400912093
https://github.com/ztellman/lamina,Clojure,26,https://github.com/ztellman/lamina,Clojure,4589,ztellman,708,6.56244409369372,3.258096538021482,6.1796617931265985
https://github.com/juxt/aero,Clojure,34,https://github.com/juxt/aero,Clojure,247,juxt,703,6.555356891810665,3.5263605246161616,6.415188416266054
https://github.com/seancorfield/next-jdbc,Clojure,31,https://github.com/seancorfield/next-jdbc,Clojure,1373,seancorfield,701,6.55250788703459,3.4339872044851463,6.3340877943196965
https://github.com/nrepl/nrepl,Clojure,80,https://github.com/nrepl/nrepl,Clojure,2364,nrepl,698,6.548219102762372,4.382026634673881,7.166434053054653
https://github.com/mikera/core.matrix,Clojure,63,https://github.com/mikera/core.matrix,Clojure,5147,mikera,693,6.541029999189903,4.143134726391533,6.956695112068536
https://github.com/r0man/sablono,Clojure,23,https://github.com/r0man/sablono,Clojure,675,r0man,691,6.53813982376767,3.1354942159291497,6.072021139313861
https://github.com/flosell/lambdacd,Clojure,21,https://github.com/flosell/lambdacd,Clojure,21548,flosell,672,6.51025834052315,3.044522437723423,5.992151023336799
https://github.com/JulianBirch/cljs-ajax,Clojure,78,https://github.com/JulianBirch/cljs-ajax,Clojure,380,JulianBirch,665,6.499787040655854,4.356708826689592,7.144205881858337
https://github.com/bhauman/rebel-readline,Clojure,24,https://github.com/bhauman/rebel-readline,Clojure,396,bhauman,662,6.495265555937008,3.1780538303479458,6.109387028017071
https://github.com/clojure/tools.nrepl,Clojure,21,https://github.com/clojure/tools.nrepl,Clojure,839,clojure,662,6.495265555937008,3.044522437723423,5.992151023336799
https://github.com/weavejester/codox,Clojure,33,https://github.com/weavejester/codox,Clojure,585,weavejester,655,6.484635235635252,3.4965075614664802,6.388978533640346
https://github.com/clj-pdf/clj-pdf,Clojure,63,https://github.com/clj-pdf/clj-pdf,Clojure,16633,clj-pdf,654,6.483107351457199,4.143134726391533,6.956695112068536
https://github.com/clojure-emacs/cider-nrepl,Clojure,113,https://github.com/clojure-emacs/cider-nrepl,Clojure,3318,clojure-emacs,649,6.47543271670409,4.727387818712341,7.469649383865797
https://github.com/luminus-framework/luminus-template,Clojure,153,https://github.com/luminus-framework/luminus-template,Clojure,2958,luminus-framework,642,6.464588303689961,5.030437921392435,7.7357170295172075
https://github.com/borkdude/jet,Clojure,26,https://github.com/borkdude/jet,Clojure,343,borkdude,626,6.439350371100098,3.258096538021482,6.1796617931265985
https://github.com/bhauman/figwheel-main,Clojure,61,https://github.com/bhauman/figwheel-main,Clojure,2355,bhauman,626,6.439350371100098,4.110873864173311,6.928371176253382
https://github.com/yogthos/migratus,Clojure,76,https://github.com/yogthos/migratus,Clojure,613,yogthos,617,6.424869023905388,4.330733340286331,7.12140029145977
https://github.com/day8/re-frame-10x,Clojure,55,https://github.com/day8/re-frame-10x,Clojure,18098,day8,616,6.423246963533519,4.007333185232471,6.837465994465607
https://github.com/sorenmacbeth/flambo,Clojure,38,https://github.com/sorenmacbeth/flambo,Clojure,729,sorenmacbeth,607,6.408528791059498,3.6375861597263857,6.512840727247449
https://github.com/mjul/docjure,Clojure,35,https://github.com/mjul/docjure,Clojure,592,mjul,603,6.401917196727186,3.5553480614894135,6.440638484162059
https://github.com/danielsz/system,Clojure,40,https://github.com/danielsz/system,Clojure,1927,danielsz,603,6.401917196727186,3.6888794541139363,6.557874488842332
https://github.com/wilkerlucio/pathom,Clojure,40,https://github.com/wilkerlucio/pathom,Clojure,21669,wilkerlucio,599,6.395261598115449,3.6888794541139363,6.557874488842332
https://github.com/puppetlabs/trapperkeeper,Clojure,63,https://github.com/puppetlabs/trapperkeeper,Clojure,1122,puppetlabs,588,6.376726947898627,4.143134726391533,6.956695112068536
